date,sleep_hours,steps,exercise_minutes,water_liters,calories,protein_g,stress_level,resting_heart_rate,bmi,wellness_score
2025-11-22,7.24,8396,17.1,2.24,1559,110.1,4.8,68.6,30.5,72.12
2025-11-23,7.66,10505,35.6,1.75,1824,91.7,1.5,69.0,26.0,77.56
2025-11-24,6.82,6845,46.3,2.25,2681,110.5,4.3,77.0,22.5,72.12
2025-11-25,7.51,4350,38.0,1.42,2059,66.0,6.0,77.5,27.2,56.24
2025-11-26,6.5,9947,30.4,1.88,2444,95.8,3.0,66.7,25.6,74.28
2025-11-27,6.77,6870,47.1,2.38,2233,98.7,6.5,67.5,29.4,66.75
2025-11-28,6.76,10052,31.9,2.5,2113,83.3,7.0,73.7,18.9,71.63
2025-11-29,6.02,8443,29.4,2.53,2627,105.9,5.5,64.9,22.7,72.37
2025-11-30,7.54,7311,48.2,1.57,2067,75.5,1.0,73.1,22.1,75.66
2025-12-01,6.68,8367,34.0,2.77,1527,107.7,2.6,68.4,17.6,72.14
2025-12-02,7.11,11892,46.9,1.86,1869,108.8,9.0,62.2,26.7,68.05
2025-12-03,7.53,12169,47.5,2.65,2343,40.0,4.1,62.3,22.7,81.2
2025-12-04,7.5,7752,19.2,2.29,2288,124.8,1.2,79.1,25.7,75.57
2025-12-05,7.7,7952,32.4,1.54,1602,40.0,7.7,67.9,30.6,63.12
2025-12-06,7.01,9967,70.8,2.13,1896,79.6,5.2,80.5,22.4,74.88
2025-12-07,6.72,5739,18.8,2.5,1946,120.6,7.4,65.4,22.2,68.51
2025-12-08,7.03,8332,0.0,2.64,2022,87.1,5.8,71.0,23.9,68.84
2025-12-09,5.58,7543,4.8,2.22,1668,58.3,6.1,85.7,26.5,52.53
2025-12-10,5.8,8290,42.6,3.14,1930,67.7,5.9,61.6,21.8,73.45
2025-12-11,5.91,5766,42.6,2.85,1895,120.7,6.6,55.7,21.6,70.57
2025-12-12,6.2,4102,39.6,2.16,2420,47.0,9.8,78.0,26.7,56.72
2025-12-13,7.46,3039,66.3,2.71,2433,123.2,7.1,63.2,24.6,70.29
2025-12-14,6.29,5141,0.0,3.36,2099,93.6,2.0,68.9,17.4,69.11
2025-12-15,6.76,6590,49.9,3.38,2013,65.2,6.1,64.9,19.8,74.32
2025-12-16,8.27,6954,73.2,1.62,2199,80.4,7.5,70.9,28.0,68.24
2025-12-17,6.78,11861,19.4,1.79,1864,69.6,7.6,62.3,24.7,68.74
2025-12-18,7.76,10033,34.4,3.12,1749,116.7,4.3,67.7,21.2,81.36
2025-12-19,6.26,5483,26.9,1.72,1821,113.3,7.5,72.1,23.0,59.07
2025-12-20,6.92,8364,24.1,1.57,1928,52.0,7.1,61.9,23.5,65.5
2025-12-21,6.24,6704,35.5,2.03,1743,84.9,10.0,64.1,25.7,56.09
2025-12-22,6.79,6974,70.5,2.53,2207,73.4,3.7,66.6,19.4,72.89
2025-12-23,7.86,8007,78.7,2.24,2405,127.3,4.2,59.0,21.0,82.46
2025-12-24,5.55,8962,35.3,1.94,1595,61.2,4.6,66.0,24.3,67.87
2025-12-25,7.49,6853,80.1,1.93,2159,135.1,4.2,69.8,23.2,78.98
2025-12-26,7.31,9940,42.7,1.91,2073,94.2,3.4,66.2,25.2,76.07
2025-12-27,6.57,5087,77.1,1.82,2270,66.0,1.0,67.1,19.8,71.11
2025-12-28,5.8,7613,40.1,3.55,2145,78.1,4.3,68.9,24.6,64.21
2025-12-29,7.16,13314,44.6,2.46,1641,75.0,5.9,64.4,26.8,74.93
2025-12-30,6.62,8090,49.3,2.79,1708,63.1,4.2,73.8,25.0,72.82
2025-12-31,7.31,10753,105.6,2.03,2160,97.4,9.1,79.1,23.9,74.21
2026-01-01,7.12,7801,59.0,2.2,2510,64.3,5.2,65.7,23.2,72.53
2026-01-02,8.54,8877,27.9,1.91,1400,40.5,7.8,72.4,21.0,72.2
2026-01-03,6.88,7475,61.4,0.84,2271,85.5,5.7,67.3,23.3,62.84
2026-01-04,6.18,7225,34.8,1.54,2566,49.9,6.9,71.6,27.3,54.57
2026-01-05,7.26,5885,32.2,1.3,2096,76.2,5.8,80.0,23.1,64.47
2026-01-06,7.3,8546,60.2,1.06,2343,72.3,7.9,72.6,20.8,72.02
2026-01-07,8.32,5726,42.6,1.64,1904,73.2,5.3,56.6,22.0,74.8
2026-01-08,7.85,9064,47.6,3.03,2108,145.0,6.2,72.2,24.1,80.86
2026-01-09,7.42,9987,42.3,2.28,1583,96.4,5.9,77.6,22.4,68.62
2026-01-10,8.42,8406,48.7,3.01,1400,101.1,4.6,67.4,25.0,75.1
2026-01-11,6.03,6970,50.5,2.53,2480,50.6,6.0,76.0,25.1,62.95
2026-01-12,6.52,8598,3.3,2.73,1805,78.7,9.7,64.2,26.2,65.28
2026-01-13,6.27,6920,55.3,1.8,1991,100.4,4.7,58.6,27.8,65.35
2026-01-14,6.75,9658,22.4,2.59,1665,69.4,6.0,70.0,26.5,71.15
2026-01-15,5.86,3570,13.2,2.7,1657,117.7,7.7,56.7,20.7,62.96
2026-01-16,7.67,6861,40.8,1.98,2089,64.9,7.5,67.3,20.8,74.24
2026-01-17,6.9,3220,43.7,2.61,1895,87.8,5.2,78.0,23.3,64.79
2026-01-18,5.78,4310,28.1,2.61,2282,80.3,1.0,55.6,22.1,73.71
2026-01-19,6.19,10600,58.6,2.0,2308,99.1,6.2,60.0,20.1,74.6
2026-01-20,7.38,9569,15.2,1.68,2262,79.0,1.0,61.8,22.2,81.61
2026-01-21,7.85,6017,33.9,1.65,2234,88.2,8.1,68.6,22.1,72.66
2026-01-22,8.9,4294,30.3,2.35,2702,89.1,5.5,66.4,21.5,67.03
2026-01-23,9.5,1500,41.1,2.48,1776,76.6,7.2,78.8,22.6,65.05
2026-01-24,7.47,6404,47.6,1.86,2131,107.1,3.4,75.7,27.0,71.81
2026-01-25,6.21,12924,21.8,2.31,2546,101.0,2.1,72.5,24.1,75.22
2026-01-26,5.18,8556,56.5,2.61,2593,92.8,5.7,70.0,30.9,63.82
2026-01-27,7.34,6368,43.3,2.64,1652,84.2,5.1,71.8,24.0,78.62
2026-01-28,6.37,8623,4.2,3.15,2041,114.9,4.2,63.0,22.6,79.59
2026-01-29,6.73,4165,2.8,3.0,2625,89.1,5.4,75.0,23.5,60.42
2026-01-30,6.55,6945,41.8,1.75,2328,87.3,10.0,61.2,24.3,68.51
2026-01-31,6.97,7818,37.6,3.23,2218,97.6,6.9,74.8,24.8,70.19
2026-02-01,8.06,7410,39.9,2.01,2074,137.4,7.3,77.3,29.7,68.68
2026-02-02,7.24,9339,41.4,2.87,2016,61.5,6.9,70.5,21.0,71.97
2026-02-03,6.96,8358,46.5,2.34,2251,114.2,8.2,67.8,26.1,72.35
2026-02-04,6.17,9070,61.0,2.07,2062,47.7,4.8,71.8,24.1,66.34
2026-02-05,5.59,6085,19.8,1.31,2135,100.4,1.1,50.0,18.8,63.49
2026-02-06,6.66,9575,18.6,2.21,2178,134.4,4.8,71.1,25.8,71.36
2026-02-07,7.05,11183,20.1,1.44,1913,107.2,6.8,68.2,27.3,74.87
2026-02-08,8.69,5465,47.8,2.83,2336,99.3,3.3,68.6,20.9,83.41
2026-02-09,7.22,5647,66.9,3.13,3170,81.0,4.8,73.9,23.5,73.81
2026-02-10,7.98,10538,33.4,1.86,1528,95.8,3.8,68.5,18.3,80.57
2026-02-11,6.65,7179,0.0,2.47,2263,88.7,8.2,61.0,19.7,67.41
2026-02-12,6.03,10688,7.9,1.9,1884,75.4,6.7,68.0,26.6,67.81
2026-02-13,6.23,6626,25.3,1.95,2352,87.8,6.5,69.5,22.1,63.61
2026-02-14,6.45,10801,30.8,2.73,2166,100.0,6.4,69.8,20.2,72.32
2026-02-15,9.02,7889,33.8,2.28,2417,75.8,5.1,70.1,24.2,74.52
2026-02-16,6.36,8168,42.8,3.26,2561,74.8,5.6,76.3,21.9,68.93
2026-02-17,7.85,11042,35.8,2.03,2217,61.0,2.8,61.4,22.1,84.49
2026-02-18,6.29,6804,63.0,2.85,2546,104.8,1.0,70.2,25.7,70.85
2026-02-19,7.94,5529,28.5,2.35,1400,108.6,5.5,78.0,20.0,73.6
2026-02-20,7.45,6613,24.8,2.74,2707,100.8,5.8,56.9,20.8,82.99
2026-02-21,6.96,8595,51.6,2.05,2281,119.1,7.6,70.3,24.0,73.49
2026-02-22,7.06,4155,11.3,2.27,2527,97.2,8.3,64.9,26.4,67.74
2026-02-23,6.51,9002,49.8,2.24,1723,104.8,8.3,66.4,27.2,65.92
2026-02-24,7.5,6414,44.1,1.84,1859,102.6,3.2,62.7,21.5,79.08
2026-02-25,6.69,10125,39.1,2.66,2201,92.7,4.5,67.8,26.3,73.19
2026-02-26,6.0,2332,73.8,2.66,2144,81.7,6.2,81.9,21.1,57.38
2026-02-27,5.95,5869,29.6,2.63,2249,150.4,10.0,60.1,29.0,64.13
2026-02-28,7.26,3889,83.2,3.15,2530,83.7,8.2,60.8,20.1,73.68
2026-03-01,8.52,5782,37.5,3.1,1532,78.4,7.4,59.9,27.5,69.18
2026-03-02,7.24,8144,16.5,2.09,2491,105.9,4.4,81.1,21.5,66.97
2026-03-03,6.99,7205,43.4,2.51,2153,101.3,3.4,65.8,29.5,69.65
2026-03-04,7.36,7042,20.5,1.96,2079,59.9,6.8,68.8,25.3,69.02
2026-03-05,8.28,7249,27.0,2.31,1635,123.1,3.0,66.2,20.5,86.95
2026-03-06,7.3,8047,49.9,1.97,2326,92.6,4.7,62.4,21.9,82.38
2026-03-07,6.73,5381,53.1,3.19,1400,67.2,5.0,67.4,25.8,64.91
2026-03-08,8.1,9155,29.6,2.5,2377,124.7,8.4,86.2,26.7,73.41
2026-03-09,7.49,9057,61.7,2.18,1628,110.6,4.5,78.7,23.3,79.03
2026-03-10,8.48,8447,65.2,2.96,2169,63.4,1.0,63.0,23.6,82.08
2026-03-11,7.26,8824,70.7,1.11,2108,139.4,6.2,73.5,25.8,68.92
2026-03-12,6.0,8252,52.6,1.19,2559,111.5,3.8,63.2,23.9,72.89
2026-03-13,5.87,12077,69.3,2.74,2087,94.7,5.3,56.6,19.6,77.56
2026-03-14,8.59,7408,4.4,2.33,1907,134.8,5.0,76.1,21.1,68.63
2026-03-15,8.65,6924,35.6,2.44,1973,99.0,4.7,77.1,24.2,73.52
2026-03-16,6.94,5942,24.7,1.57,2596,94.3,6.8,76.3,27.1,53.73
2026-03-17,6.76,5329,44.4,2.29,2338,78.5,2.1,65.7,28.3,69.78
2026-03-18,8.42,4862,30.6,3.4,2015,109.5,4.2,67.8,25.8,78.98
2026-03-19,6.1,5644,38.7,2.75,2067,106.9,6.6,74.2,24.4,64.16
2026-03-20,6.29,7444,79.6,2.39,1601,95.4,4.0,71.7,25.7,69.49
2026-03-21,7.68,8335,38.6,2.06,2286,75.3,2.0,66.2,21.5,84.2
2026-03-22,6.74,7712,50.3,2.08,1534,98.2,6.5,57.7,23.0,75.91
2026-03-23,7.1,5915,37.4,1.13,2413,93.3,7.4,69.8,21.0,67.97
2026-03-24,6.95,9580,43.5,2.44,2195,61.7,5.1,76.6,19.8,74.88
2026-03-25,7.4,9226,42.1,2.77,2985,58.2,1.3,60.6,24.5,88.44
2026-03-26,8.37,7248,51.0,1.43,1765,109.1,6.6,73.5,24.1,72.04
2026-03-27,7.18,6163,65.3,1.94,2114,40.0,1.9,71.3,25.6,72.34
2026-03-28,7.68,8806,74.9,1.66,2779,100.1,5.8,74.3,25.1,74.32
2026-03-29,5.25,8013,48.2,1.77,2567,83.0,3.4,75.1,24.2,61.54
2026-03-30,7.06,4414,53.8,2.33,1906,127.7,2.9,64.1,25.2,70.88
2026-03-31,6.34,7450,19.0,1.15,2228,82.7,4.3,57.7,23.4,64.29
2026-04-01,6.0,8176,40.2,2.64,2151,111.5,4.8,65.3,24.7,71.35
2026-04-02,6.31,5620,60.8,2.71,2249,85.1,3.9,75.2,21.3,69.97
2026-04-03,6.8,8017,59.3,2.16,1905,97.8,6.4,65.2,24.6,77.0
2026-04-04,7.92,4399,46.2,0.94,2119,113.4,4.3,64.1,25.5,70.58
2026-04-05,5.91,10539,59.7,1.75,1591,83.4,7.2,56.3,21.5,72.9
2026-04-06,7.13,10345,51.8,2.98,2197,119.9,5.8,81.3,23.7,79.39
2026-04-07,6.66,7044,66.0,0.8,2308,70.2,3.8,74.8,21.6,64.76
2026-04-08,6.81,8399,47.8,2.11,2070,102.4,3.5,74.4,21.9,75.98
2026-04-09,8.0,2298,34.9,1.65,1585,118.1,1.9,75.8,20.1,69.66
2026-04-10,7.58,5056,48.7,2.74,2496,111.5,5.8,73.0,27.3,75.06
2026-04-11,8.3,6953,0.0,1.93,2278,142.9,4.5,67.3,26.7,74.92
2026-04-12,6.96,5241,49.7,2.52,1896,75.9,1.0,67.9,25.1,71.25
2026-04-13,6.47,9171,0.0,2.61,2052,60.5,4.1,66.0,29.4,70.13
2026-04-14,6.9,11994,7.5,3.31,1625,70.1,3.4,87.4,22.9,76.68
2026-04-15,7.32,5011,51.0,2.19,1791,111.5,8.4,72.9,32.6,61.06
2026-04-16,7.26,5757,51.6,2.51,1962,107.4,1.8,65.8,22.8,80.84
2026-04-17,6.12,8117,18.8,1.48,2580,97.6,2.3,72.3,24.3,68.74
2026-04-18,7.18,11144,27.8,2.95,1926,66.9,7.4,61.9,22.3,75.83
2026-04-19,7.31,4910,69.4,1.88,2374,114.2,7.9,79.5,24.6,65.23
2026-04-20,9.37,8147,32.3,1.99,1962,64.4,3.7,64.4,26.0,67.16
2026-04-21,8.79,11606,86.9,2.29,2237,124.0,3.9,72.5,23.2,79.44
2026-04-22,6.33,3966,42.0,1.44,2101,166.4,6.4,76.5,28.8,58.41
2026-04-23,6.84,4781,50.2,2.43,2456,104.2,1.0,71.7,24.2,74.53
2026-04-24,5.78,6668,74.3,2.83,1963,109.6,1.5,69.7,24.3,73.09
2026-04-25,6.57,6454,44.6,2.46,1600,82.7,4.6,69.1,20.8,72.25
2026-04-26,7.38,9387,22.0,1.43,1666,49.7,8.3,68.6,24.8,66.86
2026-04-27,8.19,8131,39.8,2.23,1964,79.9,4.3,65.0,23.1,79.9
2026-04-28,6.44,3695,41.3,2.71,1713,67.7,5.4,65.9,21.7,69.39
2026-04-29,6.51,8733,14.7,1.27,2294,58.8,7.5,79.4,21.2,57.34
2026-04-30,5.17,6329,36.9,1.71,1987,138.1,9.4,68.2,31.5,51.62
2026-05-01,6.95,10403,27.2,2.78,2981,101.8,4.0,63.5,22.7,80.83
2026-05-02,6.14,6219,60.5,2.45,1542,104.5,5.2,65.4,19.1,65.18
2026-05-03,6.62,6199,42.7,2.53,2221,87.3,8.8,76.7,21.4,60.87
2026-05-04,6.31,8790,36.3,3.32,1755,90.7,2.2,73.7,23.3,80.5
2026-05-05,7.02,9278,39.9,2.56,1977,119.1,7.3,72.9,25.1,73.93
2026-05-06,5.52,8585,46.5,2.66,2199,94.2,3.2,67.2,25.2,67.1
2026-05-07,5.78,3891,54.3,3.79,1400,108.3,5.4,73.0,25.5,58.44
2026-05-08,9.02,8783,22.0,2.18,2233,90.1,4.7,64.5,21.6,76.04
2026-05-09,5.94,5324,21.2,1.86,2816,86.4,3.3,67.2,24.5,68.73
2026-05-10,6.11,8117,64.1,2.54,1991,59.8,3.2,75.8,20.9,69.94
2026-05-11,8.75,4467,33.8,2.54,2241,45.6,5.8,75.1,21.6,70.55
2026-05-12,9.5,8581,13.7,2.01,2509,88.5,7.2,62.1,20.7,71.02
2026-05-13,6.05,5825,50.9,1.73,2093,96.4,4.9,63.0,19.9,68.24
2026-05-14,6.77,4778,51.3,3.57,1947,62.8,5.3,69.8,26.7,63.84
2026-05-15,7.41,9170,11.4,2.48,1400,94.1,6.3,81.1,25.6,72.42
2026-05-16,8.66,8131,46.6,1.9,2374,96.3,3.3,55.6,26.4,75.82
2026-05-17,6.21,6249,56.7,2.8,2110,41.1,6.7,70.9,23.6,67.97
2026-05-18,6.88,10792,49.5,2.24,1796,72.1,6.8,59.4,25.8,72.64
2026-05-19,7.8,6630,54.6,2.16,2194,105.2,10.0,64.6,18.2,71.91
2026-05-20,7.49,7670,13.9,2.61,1946,104.7,4.4,66.4,26.1,77.53
2026-05-21,6.76,8191,48.6,1.59,1965,66.2,4.3,66.1,24.0,70.64
2026-05-22,6.98,6236,35.9,2.49,2362,99.0,6.7,65.3,25.4,71.62
2026-05-23,5.86,8636,32.3,3.35,1682,120.6,6.8,69.1,24.6,68.98
2026-05-24,6.89,6426,59.4,2.56,2517,114.4,4.1,65.3,20.5,74.87
2026-05-25,6.86,6694,71.6,2.09,1661,92.6,4.4,58.8,19.0,80.05
2026-05-26,7.31,10597,77.9,2.02,1918,83.3,6.3,74.5,21.4,78.99
2026-05-27,6.6,5310,68.3,2.07,2823,79.3,3.5,74.3,25.2,64.61
2026-05-28,7.52,2291,39.8,2.16,2545,106.7,4.4,74.9,25.6,67.6
2026-05-29,8.01,11144,49.1,2.09,2184,99.9,5.4,58.2,19.4,81.28
2026-05-30,7.24,13208,57.3,2.8,1821,110.7,7.2,71.1,20.6,74.91
2026-05-31,7.42,6708,44.4,1.35,1965,98.3,4.0,73.7,21.3,74.13
2026-06-01,7.15,3338,44.6,2.77,2176,115.5,1.5,61.8,22.4,73.54
2026-06-02,7.1,6916,58.5,2.09,2163,97.4,1.4,69.1,19.4,79.99
2026-06-03,6.45,6970,40.8,2.51,2118,114.6,2.7,68.2,19.2,73.43
2026-06-04,7.38,7182,27.4,1.68,2139,116.8,2.6,81.9,21.0,70.63
2026-06-05,7.01,5150,33.7,3.03,2075,74.9,4.9,82.5,23.8,67.86
2026-06-06,8.98,8875,54.7,2.99,1645,49.8,2.8,57.3,20.0,83.64
2026-06-07,8.52,8753,42.1,2.83,1969,133.6,3.8,86.5,23.2,73.32
2026-06-08,7.45,4312,48.8,1.47,2470,101.4,3.7,62.6,26.7,72.82
2026-06-09,6.41,9138,55.4,2.76,1671,52.1,4.3,75.9,19.6,71.86
2026-06-10,6.1,12115,34.5,2.52,2084,77.2,7.8,75.8,22.9,62.76
2026-06-11,8.17,7978,57.1,1.42,1863,114.3,6.5,62.0,26.6,74.77
2026-06-12,7.34,6857,49.6,2.29,2189,88.0,5.2,72.5,22.2,77.46
2026-06-13,7.53,7287,17.3,2.5,2014,82.2,4.3,68.2,21.8,81.91
2026-06-14,5.53,8953,70.8,2.61,2667,130.0,4.3,72.9,27.0,71.31
2026-06-15,7.93,3792,32.0,2.4,2327,68.8,5.9,70.6,22.6,66.97
2026-06-16,7.51,7961,8.9,2.46,1691,75.0,6.4,77.4,26.8,69.55
2026-06-17,6.1,6740,21.1,3.11,2385,100.3,3.4,69.5,24.8,73.36
2026-06-18,6.68,11665,21.6,2.97,1879,104.8,5.3,67.8,22.5,80.2
2026-06-19,7.34,7216,43.0,0.8,1948,107.4,1.1,76.7,24.9,72.54
2026-06-20,7.15,11269,36.5,2.13,2260,117.8,5.6,73.1,24.5,75.87
2026-06-21,6.84,5171,35.3,2.21,1978,100.0,6.7,74.1,26.6,62.89
2026-06-22,7.01,8891,54.4,1.34,2462,107.2,4.6,64.3,21.9,73.9
2026-06-23,6.87,8302,48.8,2.35,1879,88.5,8.8,61.7,23.6,66.52
2026-06-24,7.24,5688,48.3,2.99,1933,96.6,3.4,65.0,23.3,79.64
2026-06-25,8.42,7990,50.2,1.7,1920,97.7,5.6,64.7,25.6,75.31
2026-06-26,4.79,10267,54.3,2.49,1952,100.4,5.1,74.5,20.4,67.15
2026-06-27,6.89,6887,0.0,1.8,2535,114.3,5.0,75.8,26.6,60.36
2026-06-28,7.26,3877,34.7,1.93,2370,108.9,5.0,67.9,24.9,69.93
2026-06-29,7.37,7561,0.0,3.11,2748,96.1,5.4,79.0,19.5,77.75
2026-06-30,6.77,5614,42.7,2.0,2944,74.8,6.9,78.6,27.1,59.9
2026-07-01,5.52,6846,41.9,2.55,1789,96.7,8.0,70.7,30.2,58.01
2026-07-02,7.4,7420,62.9,1.27,2175,94.3,5.2,63.2,26.5,73.31
2026-07-03,8.65,3847,65.8,3.32,1738,99.8,6.8,80.0,27.8,71.54
2026-07-04,5.72,4045,46.1,2.63,1878,150.2,3.8,68.6,23.8,63.1
2026-07-05,7.88,8660,32.0,2.2,1929,81.9,6.7,69.9,18.5,75.36
2026-07-06,6.8,6450,51.7,2.62,1780,105.6,3.7,66.6,18.0,72.12
2026-07-07,7.04,1957,31.4,1.52,1782,121.7,7.4,62.8,24.3,60.66
2026-07-08,6.15,9326,42.0,2.95,2100,97.5,9.6,58.7,21.7,72.59
2026-07-09,6.8,8199,61.7,2.12,1724,153.4,5.0,73.4,20.8,77.58
2026-07-10,8.27,6029,30.8,2.19,2445,85.5,1.0,63.5,23.3,85.93
